estrofes,emocao
minut fog demor,felicidade
cidad modern diz ceg filh olhos chei terr bond trilh,felicidade
aventur comec coraçã navi pens filh cal pens filh ouv cidad modern,felicidade
lev esperanc aér esperanc aér pes pes,felicidade
levez pass crêacredit forc equilibri gravidad exist,felicidade
ceg enxerg pass amor tard,felicidade
terr vian ruas estreit navi part pedr fic,felicidade
terr vest cor folh ros branc sai perr vermelhinh areos,felicidade
gent quant gent excelent funeral fic pret cabel natural,felicidade
eminent triplic capital sobr gent viu viv donat obras hospital,felicidade
plági divert uniã fiz inspir,felicidade
min toc bot fit vir sapat precis corr prac rol amanhec vou aguard beb gel vou volt pra cas madrug,felicidade
vaness sab revir cabec,felicidade
ligu maneir lig afim lev pra namor demor beijinh rost pro,felicidade
gent pra gent gent papel pass fest bol brigadeir gent cant sosseg gent cant sosseg,felicidade
adrian clar mand beij pra cois cab encart cds dou pul port alegr silv jardim,felicidade
pens casament cas rapaz direit escolh menin bonit,felicidade
traz peit sant rosári rosári pen rosári vid libert paz quilomb negr branc vermelh sang,felicidade
lev beij peg agarr deix viv mund,felicidade
mostr encost paz guard,felicidade
porr saqu jog brilhant ganh insistent bandeir salt mort demênc mod flech feit flech ceg,felicidade
vou errad jur vam conhec fic escur promet cuid,felicidade
vou nenhum diss peg mã diss normal ped,felicidade
desc serr ceg cerraçã salv imag imagin bailarin asfalt faz curv patins,felicidade
chanc mund salv exist revanch chanc ganh,felicidade
pássar anjos harmon traz rouxinó,felicidade
céu estrel prefer luz ilumin vid quis revel amor feliz,felicidade
fech olhos sonh céu infern paz sang escorr chã exist cadáv enterr caixã,felicidade
telefon saud diz sent troux soluçã coraçã esquec,felicidade
paixã acredit prescrit acredit lev sofr felic volt pra mim,felicidade
luz olhar mar,felicidade
amor quis,felicidade
juntinh coraçã viv solidã,felicidade
preocup geraçã ruins,felicidade
mã estrel complic fácil entend,felicidade
vam danc luz madrug inspir pra viv,felicidade
brasil lind     descobr brasil lind     descobr,felicidade
caravel mar vel vent,felicidade
luz fascin sol dorm lua ilumin som comov resolv belez purez envolv,felicidade
compr cordãoqu agrid panod grifemansãod elitepr limit,felicidade
diss acredit ped acredit deix acredit grêmi campeã amér port alegr,felicidade
gost form tom toqu cristal vidr poem febr metal,felicidade
vou vest uniform jogador dorm campeã rua invad quadr desafi tim escolh errou corag assist tim gigant invad,felicidade
gost cachorr vagabund anda sozinh mund coleir patrã gost cachorr sarjet escut cornet sai batalhã,felicidade
superfíc plan retangul entro quadr jog séri entro pra ganh pens vitór pis gram energ vitori punh inflam,felicidade
vou sac forc incendiár vou quebr servic gam adversár quadr divid pra mim jog vid bat forc forc rebat,felicidade
menin beij cont der tom cervej escond cinem fit proib,felicidade
vou defend quadr vou pro ataqu pressã raquet part acirr foc confront comemor concentr,felicidade
lanc set eficient estand embaix sol quent particip jog sério,felicidade
descobr brasil coraçã descobr brasil naçã melhor pra viv cabral descobri,felicidade
vou lut defend cinturã vou pra guard alta trocaçã pressã sufoc desafi acredit mim deix confiant,felicidade
pes pes categor luv pret pedr represent atropel mostr apert mã adversári pra mostr ferplay,felicidade
menin bonit mar menin bonit mar vou cas lind amor fund mar,felicidade
sol rai fúlg céu pur anil ergu vult atlét gest varonil amér sul filh gentil ostent intrép colossal brasil,felicidade
don voz don don,felicidade
remot batuc cadênc marc baian andar requebr maneir grac palmeir esgu altaneir balanc,felicidade
coloc mã profund corp arranc macumb glór jesus crist,felicidade
sint declar,felicidade
sig trop vid desc impulsion pra voar alto sub capacet proteçã chanc precis novent sessã,felicidade
sonh campeã corp ral fratur remend cur pront pra missã desafi exist corrimã batalhã,felicidade
cheg vest camis motiv divis torc vibr fris repris imortaliz gol,felicidade
manhã levant brios tear hermíni encant vest namor,felicidade
cheg ribeir cheg ligadã sorr beij chã,felicidade
cheg feir guitarr wah wah sorr rez pra comec,felicidade
vers resgat cérebr imers ruim sociedad dispers rim ric elabor submers bat bas rim cert,felicidade
ic iça vel barc mar atlânt sul marinheir joã arco anjo céu azul iça iça âncor vel milh atol sol nuc corp ofusc luz sol,felicidade
sang derram mim purif restaur senhor volt amor,felicidade
coraçã coraçã coraçã coraçã,felicidade
oferec calor enderec vid filh comec,felicidade
precis sub palc car vermelh cant cançõ karaok amor pra namor,felicidade
vou orar pai vou clam ped sant espírit deus amizad sol,felicidade
vou viaj vou mostr lind hav dor sofr comig,felicidade
vam vam som par festej celebr acontec,felicidade
rap molequ seg trilh cantor vir vapor client pra tar visual relogi loc rol pajer mosc nois sent ded,felicidade
sorvet sorv derret sab diss diss precis olha sorris,felicidade
chocolat ment batiment aument deit piment receit bat cert compromiss gost diss abstrat nist concret,felicidade
an vic músic cham lúc mund desab coraçã quebr col sar devolv terr,felicidade
pos irmã curt salã pra danc dinheir mã vid lok pra col funçã bang pra cumpr missã,felicidade
lob hien pass vonts volant fusquinh visã colet verdinh divid pã,felicidade
diab cartilh inimig ceifador class ric class orgulh professor cã pront pra mat brasil adestr,felicidade
hall fam etern lembr igual tupac sucess cã mord caravan got águ estremec desert saar,felicidade
tir zói impal engasg freestyl pul mang larg lowrid toc pret camisã xadrez calc larg medalh honr mérit quebr,felicidade
menin entra pra list cort american vend pro elvis jhon ein cas branc malár febr amarel pabl escob deu cidad pro mor,felicidade
baian águ cheir ped pra mim lav escad senhor bonfim milhõ kilometr extensã tropical    estamp fal,felicidade
entreg poes ferrug peg hom precis víci cigarr caf beij paus,felicidade
mudanc vou mor abrac cabul pixinguinh carinh delíc gostos vim xavoz pruns amass,felicidade
olh louc seman lábi cham fal cham cinz cam calor deix queim corp rio janeir grac jeit louc,felicidade
palm mã palm negr danc soub lav alma mã humilh céus ergu troféu demor vou camb samb mã,felicidade
par grandez épic formaçã atra deslumbr estimul import,felicidade
poss volt larg escrav castig batuqu batuqu purez menin uniformiz escol secundár,felicidade
algum vou danc lig encontr ame detalh gost lind ros convenc,felicidade
viv difícil vou difam jam quis gost bis fiz fiz feliz,felicidade
mademoisell capaz sorr vam curt fic grav ment igual acho saudad present,felicidade
frent pux bond amig danc comemor vilã sum romanc louc acend lanc danc,felicidade
surg vendaval forc exist enred carnaval jamelã keti,felicidade
olh disc prateleir thelonious monk cultur maneir punk mostr visã verdadeir tranqu louc cachoeir pereir funk,felicidade
tir sujeir virtual rim ligeir marginal derret inteir natural entend mund ideal,felicidade
cant pra sald negô rei cheg alaafin vim oyó xangô daqu mal pra cuand orub band pap língu escrit sagr,felicidade
fic amor sonh quer,felicidade
dig iraj iraj pra beij beij mim,felicidade
louc lisbo duvid terr gir contrári rios nasc mar,felicidade
palavr impact vocal tranqüiliz escrev emocion sarau loc perceb olha bol olho efeit rim expressã facial,felicidade
stefani rim pra interess quis inspir afet complet missã deus deu met,felicidade
capac pra algum mund fiz sent rim bat rua lut salv muit ment,felicidade
mostr sorris amarel tin mamã rainh providenc castel compor recompor histor tramp temper vitór,felicidade
trabalh correi revend avon livr facul bols olhar purez menin moc,felicidade
ouc pra reviv cont pra pag sonh pra viv vid pra lev impéri pra ergu histór pra eterniz devag vam,felicidade
mai marrom coraçã azul branc papel crepom mund,felicidade
trindad cheg cidad volt senhor senhor,felicidade
legal séri brutal aug natal beij boc min favel som clim,felicidade
matin brilh retin sol cort persian fin feliz miguel repet cuid menin doc cajuín,felicidade
melhor teresin esquin grit molequ nasc amor renasc feliz malandr jac escolh cham leandr,felicidade
balanc balanc danc entra rod moren pra balanc balanc,felicidade
lev vid pens pens pass vou acab balanc balanc,felicidade
cartilh abc maravilh balanc balanc,felicidade
belez intens plen ipanem holofot criv luz ilha flutu plen,felicidade
águ font beb palm mã ros abrind despetal chã viu prov viv amou vid curt mund pequen vou viv morr amor gostos venen,felicidade
alguém senhor soberan conduz amor vid sol luz font suprem venc cruz filh deus,felicidade
andorinh voou voou ninh mã burac coraçã vou passarinh bich sai ninh vacil dor,felicidade
atmosf zer geograf ouc bah sons georg mind mil baix bail sub pã açúc duc lour,felicidade
auror iorqu colun lod furacã pomb explod águ podr,felicidade
av continu quis avô quis mim amou decert amou,felicidade
bandeir estádi estandart flâmul pendur pared distint camis uniform lind part futebol,felicidade
cabec car curt man direit lig efeit surg man represent sig cen satisf paz emic vil madalen,felicidade
bel fer fals sinc clar escur loucur cidad viv paz cidad igu,felicidade
bol entrand fund red juiz apit goool torc levant solt foguet ped,felicidade
bol rol camis coraçã grit fund campeã campeã,felicidade
cabec fic louc beijinh cant boc louc louc louc louc beijin beijin,felicidade
cabec fic louc beijinh cant boc louc louc louc louc beijin beijin,felicidade
rim tristez abra loucur anjo sagr loucur anjo,felicidade
piruet tom violet inund bail fic encant voar,felicidade
grand jet quer par quer destin junt dom,felicidade
deus barc naveg alto mar desbrav med,felicidade
chor coraçã lind cant tristez pass serás,felicidade
amor amor lind cant tristez pass serás amor amor,felicidade
canch pequen ensolar palc show mulec dribl gols arremess saqu esport surg destaqu,felicidade
carapuc serv batin caiu bloc carnavalesc pitoresc brasil,felicidade
cas fazend lua clar port deix brilh clar pedr degraus,felicidade
casinh pequenin frent capel pass font cristalin vou beb,felicidade
cervej sagr vontad just paixã piad ris assust boc cad corp fogueir,felicidade
cest básic barat salári constitucional legal desmand apolog impost racional,felicidade
just democrát respeit cheg emocion igualdad oportun futur comemor,felicidade
chuteir vest descalc tapet realez verd olhand bol vej sol rol part futebol,felicidade
mud destin enfeit alma modif caminh limp estrad futur mostr car pro parcer irmã liberdad cheg,felicidade
cidad bonit vam visit saíd portag linh beb bris marinh aprec paisag,felicidade
cidad ideal dum cachorr post metr quadr carr corr morr fic apert,felicidade
cidad bail amad estrad viv saudad mar,felicidade
cidad par chã trem gusttav lim beb,felicidade
lind exist mim lind exist mim,felicidade
conceiçã pra embandeir cant muit gent baticum samb batuqu capoeir candombl sol queim ninguém,felicidade
cor sang vermelh vermelh cor amor amor palavr cit poet cit,felicidade
chuv passadacéu azul apresent beir estrad amor corrent rio,felicidade
corrent rio lev flor adormec sorr sonh amor sonh amor sonh,felicidade
vej cais deus vid mestr coraçã mestr mestr esperanc mestr,felicidade
deus rua olhos lua costum embriag olhos suponh sol dour sonh claridad busc,felicidade
glór glór glór pra amém glór glór glór pra amém,felicidade
encarn deus andar léu céu vibraçã,felicidade
espreit vapor car dum francês sej vou mar,felicidade
vo estrad desaf qued desf qued voa estrad pra pous,felicidade
farinh feit plant famíl euforbiác euforbiác manihot utilissim tio apelid macaxeir mund achou melhor,felicidade
farinh sang nordestin menin gross fin quebradinh vou vizinh pra pirã mingau,felicidade
farinh feijã animal cabr eir beir fund quintal macaxeir macaxeir popul macaxeir pral macaxeir pra,felicidade
pior roc gad exist deus,felicidade
manhã anoitec calor verã viv pra morr trist solidã,felicidade
felic got orvalh pétal flor brilh tranquil lev oscil cai lágrim amor,felicidade
felic got orvalh pétal flor brilh tranqüil lev oscil cai lágrim amor,felicidade
felic plum vent lev brilh lev vid precis vent par,felicidade
felic plum vent lev voa lev vid precis vent par,felicidade
felic delic flor amor cor,felicidade
ninh passarinh delic trat,felicidade
felic mand avis cheg ninguém ninguém vir motiv alegr,felicidade
fest vam pipoc gusttav lim bich ligu pras gat lind noçã camarot lot toc pancadã,felicidade
forc pedr cant itapuã fal tup fal iorub lind bail pierrô pierrô rua,felicidade
cact aval samb cai cai banh romeir rom religi rog rez cant,felicidade
fragat ergu pro varin teim pass che lisbo lisbo cheir flor mar,felicidade
fragat ergu pro varin teim pass cheir lisbo lisbo cheir flor mar,felicidade
fragat ergu pro varin teim pass che lisbo lisbo cheir flor mar,felicidade
gafieir subscriçã pra pass cer caiaçã turm sai terez quer volt terez enturm terez enturm,felicidade
garc vôou sombr fic desc lev brancor,felicidade
gent acab amor resolv pens gent pens jur pens sentiment praz engan,felicidade
gent esquec samb samb gent perd amor acha amor,felicidade
morr peit peit nasc amor indiferenc saudad tristez rancor,felicidade
gent amor telepat chã mar lua melod man gent beij imagin loucur,felicidade
gent amor telepat chã mar lua melod man gent beij imagin loucur,felicidade
gent amor mand paixã nenhum lig amor brig fug coraçã gent amor desej olhar vou pra cas pra mat med amar,felicidade
gent nasc gent cresc gent amar mulh neg neg neg,felicidade
gent convers sagr comet maior pec,felicidade
gent fal liberdad sair prisã fal céu tir pés chã,felicidade
gent pul gent zoa rodei terr trem danc danc pancadã bat palm mã,felicidade
vou mex mex mex comig menin perig dom apaixon,felicidade
gent pra gent gent papel pass fest bol brigadeir gent cant sosseg gent cant sosseg,felicidade
gent embal embol embol port igrej gent olha beij molh chuv suor cervej,felicidade
gent digressã pra toc recint abert fech salã voluntári,felicidade
gent vir bich desmai brac aquec mormac perfum suor conhec histór cor,felicidade
glór senhor brilh glór senhor glór senhor brilha,felicidade
glór glór glór desc diret pai glór glór manifest cruz glór pai,felicidade
harmon terr disson bel azul acord termin haverásom,felicidade
honr satisf cheg coraçã som parceir cidad maravilh rio janeir,felicidade
peg microfon chec satisf sambabook zec rim manj mand pra nóis bagac laranj,felicidade
inform luz abrig vital águ batiment cardíac pulmã sol chuv espad dragã castel armadur,felicidade
inform luz abrig vital águ batiment cardíac pulmã sol chuv espad dragã castel armadur,felicidade
júl florist boém fadist tradiçã lisbo figur pro cançã,felicidade
figur bizarr som guitarr fad viv vend flor amor jam vend,felicidade
liberdad cheg angol cheg brasil mistur culp fad alegr vei áfric,felicidade
linguag amor carinh palm mã,felicidade
lu gir gir trac céu compass lua gir gir trac céu compass,felicidade
lu gir gir trac céu compass travesseir brac,felicidade
lu desc paz rein luzeir volt vid compraz sarg assa brazeir,felicidade
lu lev arrabald distant avis pastor tect trist reis mag errant,felicidade
sol chap fin sub anunc anjinh cartolin cant alelu,felicidade
lu moren danc vent ventr sol manhã,felicidade
chuv cigan danc rios mel cacau sol manhã,felicidade
lu prat escond sol dour aparec amanhec lind cheir alegr sonh acord pens nel,felicidade
lu traz vent filh mulh amig cheg diz vid,felicidade
luz praz irremedi neon grit praz açoit réveillon,felicidade
luz contempl corp sedent louc praz desej ardent,felicidade
luz prat escond sol dour aparec amanhec lind cheir alegr sonh acord pens nel,felicidade
luz surg madrug invad céu ilumin estrad luz cheg sol luar belez luz olhar,felicidade
vou esquec difícil pra descrev pens moment felic,felicidade
luz sol esper clar amanhã vou esper amanhã pra clar vou,felicidade
madam preconceit cor evit amor senhorit mor colin neguinh compositor,felicidade
mangueir morr morr acontec histór mangueir cenári cobert glór,felicidade
manhã andorinh esquec viaj voa pensament traz imag,felicidade
manhã socorr flor aves suav solt asa azul borbolet band,felicidade
manhã acend farol águ mang belez desliz sol aces sang,felicidade
manhã oferec maçã mar alumíni menin lev lev med domíni,felicidade
mã pass pel sab invent céu vid jog,felicidade
esperanc vinganc danc samb precis lut capoeir,felicidade
companheir paz passageir prá defend levant grit vou,felicidade
mã violã cançã espad viol enluar camp cidad port bandeir capoeir,felicidade
desfil cant liberdad companheir paz passageir,felicidade
louv mort viol enluar sertã espad esperanc vinganc danc samb precis lut capoeir,felicidade
companheir paz passageir pra defend levant grit vou mã violã cançã espad viol enluar camp cidad port bandeir capoeir desfil cant liberdad liberdad,felicidade
march alegr espalh aven insist lua che viv escond surg cidad enfeit pra band pass cant cois amor,felicidade
march mour bairrist cert ares alegr boêm fadist,felicidade
march vicent alegr gent pass atordo lisbo ouv cant,felicidade
acend cham torn brav imort viv antig fam vicent,felicidade
mar vazant quer encost quer entreg estrel brilhant caíd mar,felicidade
mar desmanch noiv man cas lua mel,felicidade
mariet mand beij beij famíl cecíl crianc franc aproveit pra mand lembranc pessoal,felicidade
mat dorm vent acab folh caiu faz rumor toc,felicidade
med amar amar med med amar amar med veloc máxim permit med amar amar med,felicidade
med amar amar med prepar pra decol contag regress med amar amar med,felicidade
med amar amar med veloc máxim permit med amar amar med,felicidade
me sol reluz pra mim caiu babel suj interior receb cachoeir libert,felicidade
melhor band temp últim seman melhor disc brasileir músic american melhor disc últim sucess pass sucess temp maior fracass,felicidade
melhor vid escolh razã simpl alegr alguém ama amor insuper fest pra receb,felicidade
melhor fiz vid entreg pec lanc mar,felicidade
lembr sec suj andav decid encontr resist mergulh,felicidade
melindr mand bal mestr sal curv europ trop general band danc samb berlim,felicidade
menin irmã inocent bonit manhã manhãs apress alarm agit,felicidade
cart verb sonh viv pra chav mistéri tem med amar,felicidade
crei deus pai poder únic gui pra feliz maluc guerr amanhã estour vou,felicidade
alm bibliotec abert dias pra olhos livr bonit ler,felicidade
cançã verd verd cant verd cant verd vest cant mes rei,felicidade
carn feit nuv afliçã encontr perd vou par cas,felicidade
cas coraçã mud cas camp min terr ger cas,felicidade
cas fic trás mund vou comec cant,felicidade
esperanc jesus jesus jesus promess igrej jesus jesus,felicidade
esperanc sol brilh sol ilumin pass harmon universal infern cheg civiliz,felicidade
felic sonh olhos namor pass pass,felicidade
busc madrug fal pra acord alegr oferec beij amor,felicidade
felic sonh olhos namor pass pass,felicidade
busc madrug fal prá acord alegr oferec beij amor,felicidade
felic sonh olhos namor pass pass busc madrug fal pra acord alegr oferec beij amor,felicidade
gent sofr desped dor pra band pass cant cois amor,felicidade
músic levant poeir entrar barracã cabroch pendur sai amanhec feir mangueir estaçã mangueir,felicidade
namor deix pra agradec caus viv vid pra val,felicidade
ros vermelh romã abert fech manhã,felicidade
trag ros vermelh boc encarn der abelh boc fech trag ros vermelh precis,felicidade
sort baralh destin liberdad legítim naçã brasileir mulat trag cabroch coraçã,felicidade
terr vian mont mar dou terr cheg,felicidade
vid mestr coraçã mestr mestr esperanc mestr,felicidade
vid real legal estranh gostos gent rir toa mud deix feliz coraçã gostos comig pra val,felicidade
vid amar ire sonh coraçã cas,felicidade
vid melancol aparec ros fugid sonh louc fantas,felicidade
moc trist viv cal sorr ros trist viv fech abriu menin assanh pra band pass cant cois amor,felicidade
modern dur pra tecnolog pra cri fantas,felicidade
vir deput pânic dissimul plan educ parec fácil parec fácil ráp,medo/surpresa
estil manuelin pra erig bel altar intençã entroniz,medo/surpresa
gent cheg cheg mead fio pra rio rio mar mar,medo/surpresa
inspir pergunt mim alguém repond aviã barc bond,medo/surpresa
mund convit capel rach pra mord apetit altar,medo/surpresa
jesus pirapor procur piedad,medo/surpresa
bot crianc pra chap esquent,medo/surpresa
irmã mor irmandad paixã liberdad piedad,medo/surpresa
mort vim convers contig vim ped abrig precis calor,medo/surpresa
vou deslig blitz frent vou tir bon car inocent,medo/surpresa
senhor mort deus vid lut proib piedad,medo/surpresa
dig jog morr bloc arder fog,medo/surpresa
lig pra pap bail indo lombr morr tom melhor volt rol festinh pracinha,medo/surpresa
vou fic lucr pass escurec bagulh doid,medo/surpresa
man pis estranh deu fac pescoc morr man pis man man car embarg show man don salã fal show rap,medo/surpresa
seguint tav tend show impéri consciênc human surg tret car morr car,medo/surpresa
vix entend crer políc fech show ninguém cas fech véi entend,medo/surpresa
vam termin enrol bagui pra rol irmã firmez firmez man mund mã cabec mã cabec cad bagui irmãova caguet claudi claudi baguio,medo/surpresa
manoc viu políc man embac morr cert manopr cad vir,medo/surpresa
morr jeitocert manofic ligeiroporqu chei políciachei gans descabel manovim pra levant vam col,medo/surpresa
seman top mund crist onda eufor estranh  seman top mund crist onda mergulh busc,medo/surpresa
quant boc fech bomb beij chã cidad cham cidad cham,medo/surpresa
pass film fumac bar salv vid,medo/surpresa
desc serr ceg neblin imagin curv estrad serpent mort port paraís,medo/surpresa
“se problem cárdi sugir deslig rádio”,medo/surpresa
kleb car morr manodaqu pra frent cocã jeit abal fic firm nóis junt,medo/surpresa
deus esquec capítul histór demôni escrev sonh mort comum decomposiçã,medo/surpresa
adiant chor adiant grit cidad,medo/surpresa
infern pra escap,medo/surpresa
cad corp manoman peg celul embac manoesforc man barat loucoput par car sub metr chãodeus céu cham ambul caralh,medo/surpresa
mag negr vou volt mag negr mat,medo/surpresa
telm gay fal mim calún par,medo/surpresa
min terrestr palm chã dias melhor virã,medo/surpresa
detençã mur fug daqu defes fod fug daquidetençã mur fug daqu defes fod fug daqu crê man fug daqu,medo/surpresa
crim crim quebr normal fog fumac cheg drog inevitavel embac,medo/surpresa
pap pop pap pop pop poup ninguém pap lev tir queim roup pop poup ninguém,medo/surpresa
febr vid gangst rim brilhant cos nostr perig caralh vid passageir cheg ensai cen verdadeir,medo/surpresa
trilh ambul fre contraband fug rap marc mulh sonh bol pad pra cant parabéns pra filh tia ilumin giroflex políc corp mar esper períc,medo/surpresa
playland escolh brinqued prefer forc guilhotin olho derret maçar crâni vir bol ritual sadism marret fratur costel perfur intestin,medo/surpresa
dól zorb receb mensalã universal milhõ dízim aviã crer allan kardec mort vid plan almas encontr,medo/surpresa
fredy krueg med cenári zon sul grajaú madrug paul rolet macabr sort giroflex projet slid túmul,medo/surpresa
vam ouvidor denúnc entrar program proteçã testemunh cad lesm ocorrent segund chã algem,medo/surpresa
coronh baf whisky fug script porr tam perd tem arma haxix rádi averigu passag iml reconhec tatuag,medo/surpresa
obrig sac dinheir caix mir las cost crom grit alarm premedit flor bençã padr mor europa,medo/surpresa
algum molequ dei esmol fech vidr car tchau porr sai vej result barrig che filh faxineir cort jugul,medo/surpresa
açõ imóv cont exterior oitã cabec diss igual film jornal mulh estupr mar assist dand ris,medo/surpresa
conceit artist brasileir far vangog cort orelh invent luz clon comput fot pra registr histór horror,medo/surpresa
minut pass tensã extrem mulh errou senh lembr jog gasolin risc fósfor,medo/surpresa
contrat vig lanc carr blind ladrã banc culp port abre grit entra vac dand coronh porr gráv,medo/surpresa
qu mã faix ped justic registr sumic delegac pens holerit profissã troféu ossad rabecã,medo/surpresa
alô ivo pitanguy transplant facial ladrã jog álcool queimadur grau traz prótes pra pern tir deu hemorrag pra pass fisioterap,medo/surpresa
deput estoc vergalhã plenári sonh presid sessã serenat ouc pass vej vult espírit,medo/surpresa
prep pra algem fal juíz met perjúri pra habb corpus conced pra segur intestin fit bing eduard inser capel espirit,medo/surpresa
ninguém tir    president igual mandel antôni conselheir canud cel psiu agent desarm chav acess gal carcerag,medo/surpresa
med agent caminh comec fal cidad perceb amig idé esquisit cidad idé atrapalh ilusã negóci louc,medo/surpresa
viv sofr ser esper esper enred oper,medo/surpresa
episódi deu confusã gent machuc favel ocup med domin trabalh fic plan seg mat enterr impost pag desacredit justic clam deus implor almas orand vid jog,medo/surpresa
ru fech carr par camis car pilot assust relógi roub busã quebr neguinh bol caminhã saqu batalhã choqu porret mã tir aut pra assust multidã,medo/surpresa
convid pra sub adro fundaçã cas jorg amad pra alto fil sold quas pret dand porr nuc malandr pret,medo/surpresa
histor crianc corr mã chor chap quent tir pra silenci prac corp inocent cheg maldit polic cheg polic med armad fard carteir assin ódi car pront mau,medo/surpresa
pret morr ninguém socorr comun cen arma disp pânic aument ate cinem real armas brinqued polic invad favel espalh terror med,medo/surpresa
refém med guerreir infern cri jesus escuridã tent busc achar luz,medo/surpresa
fal faz curv viatur vou par vou lev dur acontec tap sac cham pret abus document mã minut liber,medo/surpresa
novent popul anda arma mã conf proteçã med camburã cacetet mã fic jog chã,medo/surpresa
viv perig constant avis carinh amanhec,medo/surpresa
favel sold bandeir desconfi lad tem algum nasc guerr acostum vou tiu tiu,medo/surpresa
favel sold bandeir desconfi lad tem algum nasc guerr acostum vou tiu tiu,medo/surpresa
arranc dent alicat vou mascot azed marmit fog chicot opçã mort pra mant ide viv,medo/surpresa
junt palavr folh bot pra permanec encolh maldad cois vid der escolha,medo/surpresa
revid atac chacin met repressã vilã poet sold rua glock beret convoc pra guerr der canet,medo/surpresa
envolv brac seren vou rend olhos moren met med rai sol líg líg,medo/surpresa
ouv contrári procur hein,medo/surpresa
aproxim mim mod estranh dig olhos castanh met med sol líg líg,medo/surpresa
pa pai condena amor langor luxúr poupa pai filh fúr senhor,medo/surpresa
manhã políc encontr dificuldad pra control multidã prac prac guerr vidr quebr chã lix espalh pres fic fer prefeitur assum respons,medo/surpresa
vid perd joelh umbig perig,medo/surpresa
arroz feijã farinh prat principal bif cebol époc natal crianc toa brinqued doad joe desfigur carênc brac,medo/surpresa
jesus crist lament merec perdã propag desgrac alhe trar salvaçã ascensã dor mandament pensament transcrit pro testament,medo/surpresa
milhõ african mort segreg cac bandeir esquadrã mort,medo/surpresa
comerci informal variedad produt dent our defunt imag sant túmul pivet cresc detent,medo/surpresa
litr sang derram corp     litr anu form mar mort evapor condens vir chuv ácid sol germin raiv incur pra anti rábic,medo/surpresa
sal terr luz mund gost trev imped,medo/surpresa
alcanc rein deus corrent anda beb font águ mar,medo/surpresa
arc desconjunt ruir pul bichar quer sair,medo/surpresa
ausênc silênci tard tard vergonh espelh marc mat insan olhos olhos insan,medo/surpresa
barat bich natur cert espert ninguém,medo/surpresa
barat deus corr barat voa maldit barat jesus socorr barat grit,medo/surpresa
barat ráp aviã nojent lamb chã cucarach dan psicodél barat,medo/surpresa
bel fer fals sinc clar escur loucur,medo/surpresa
belez embriag vinh alma brot alma brot sust terrível,medo/surpresa
