estrofes,emocao
class band larg acab aul abrir págin internet disc bibliotec públic pra   milhõ zon sul bic linch mat vig itaú,medo/surpresa
carnic mat mosquit put fedor mostr luz túnel apag acredit paz futur som metralh traz crâni fur,medo/surpresa
corp mansã pra mim comec sang lágrim dinheir prec crianc grit dor desesper vend mã tom fac arrast cabel,medo/surpresa
port mal capuz jesus cad senh padr abenço cruz colabor fal filh deix viv lev louc viúv lut,medo/surpresa
cidad apavor qued paralis pront pra vir gel zepelim gigant desc comand diz mud ide,medo/surpresa
mat cortin transparent revel solitud solidã,medo/surpresa
desej violent bat quer pânic vertig obsessã expressã angúst depressã,medo/surpresa
pressent indefinivel mat,medo/surpresa
sozinh onda med fantasm enrred destin imag diferent consient inconsient desatin,medo/surpresa
expressã angúst depressã pressent indefinivel mat,medo/surpresa
sair continu ped vot agent reag,medo/surpresa
sentenc cant castel trem pres gaiol acompanh filh pra escol vou tir tempor,medo/surpresa
vou fic sapatinh pra arrum problem facçã regal pass venen pens niss pra vir máquin inimig,medo/surpresa
esp milagr insist diss abro mã vou morr solidã amig deus,medo/surpresa
políc preconceit armas ide exager abus chacin seman igu polic pag justiceir fard term convém,medo/surpresa
falh human justific pra argument tribunal vid gent paz almej viv esper,medo/surpresa
cal escond condomíni lei favel imper genocídi dur vid ensin caminh pern rest livr corró destró,medo/surpresa
filh mat vig assalt vier pro asfalt passeat mat engol bandeir faix desconhec cenári polít jog gran inimig entend escol,medo/surpresa
renasc líri val salomã consegu,medo/surpresa
renasc líri val salomã consegu,medo/surpresa
fit cert jãopr sobreviv capã infeliz sofr gent frent esquelet escuridã decomposiçã,medo/surpresa
gent sent existent guerr violênc inimig,medo/surpresa
gent sent luz cidad escur abrig,medo/surpresa
gent pod convers inteir fal séri brincadeir dorm son profund mund sol rai,medo/surpresa
gent pod convers inteir amanhã feir cont pag apag luz dorm despert toc,medo/surpresa
lord dand ordem gord gait fol andaim qué mass mol reclam pra mestr esfol viv viv,medo/surpresa
guerr ceg cor fad carn trêmul pavilhã destin desesper espéc devanei ódi devor sobr menin,medo/surpresa
guerr guerr guerr guerr guerr guerr,medo/surpresa
heroín conduz garot inofens monstr empres cac pres alvo mir psicopat armad,medo/surpresa
histór trafic histór trafic histór mort histór trafic velóri rez mim,medo/surpresa
igualdad social cont fad felic sonh mágic acredit palavr metralh revoluçã verbal aterroriz vam queim constituiçã coquetel molotov carr bomb congress tic tac explod suplic pro gamb derrub port bat mulh atir cost,medo/surpresa
inform pec chav sex segur powmor mur quent dit car coraçã proteçã risc contamin,medo/surpresa
pens acontec camisinh ninguém imun hiv dst dstdoenc sexual transmissív exempl hepatit aids sífil,medo/surpresa
sex descuid contamin pint boc ânus vagin sintom aparec desaparec cuid signif cur,medo/surpresa
perceb coceir cheir estranh fed fer escorr líqu man acontec exist remédi procur auxíli médic,medo/surpresa
juventud sozinh ninguém ajud explic mund desastr,medo/surpresa
ninguém ninguém vou rez pra desist,medo/surpresa
mã morr med barat pai viv med ladrã jog insetic casabot cad portã,medo/surpresa
expressã angúst depressã pressent indefin mat,medo/surpresa
expressã angúst depressã pressent indefin mat,medo/surpresa
mar sub demasi águ águ,medo/surpresa
metad olhar cham pra lut aflit metad madrug bodeguit,medo/surpresa
escol personag escol gent alguém fal mund mund pass vam comec,medo/surpresa
sol abras amor engan sombr assust terr vian,medo/surpresa
poet segur canet deix deus escrev escritur seguint deus louc pra confund sábi poet louc almir guinet,raiva/desgosto
angry man angry man rain fall but the dirt tough pot cook but the food nough repeat angry mob angry mob,raiva/desgosto
mort viv vid priv seguint seguint falh,raiva/desgosto
san vicent mulh homens coraçã american sabor vidr cort,raiva/desgosto
san vicent mulh homens coraçã american sabor vidr cort,raiva/desgosto
fad acab lir gir esgot laring esfing devor pesso toa sabor ros,raiva/desgosto
hélic metál risc beij deix pel pec sin,raiva/desgosto
ouv respeit serv ocult melhor escut,raiva/desgosto
encontr desped plataform estaçã vid vid vid,raiva/desgosto
assalt mund pro chã pro chã filh put ninguém brincadeir oferec cofr man cofr cofr vam bich,raiva/desgosto
forc brac cav terr colh our recobr igrej branc,raiva/desgosto
man ouv irã entend inform arma poder carreg roup car etiquet val,raiva/desgosto
compar ment articul racist otári químic perfeit inteligent cruz tem respeit,raiva/desgosto
fal pens desesper mod cant tort feit fac cort carn,raiva/desgosto
vam fech rua manifest,raiva/desgosto
pra polít porc veredit man,raiva/desgosto
forc brac lavr terr cort can amarg doçur mes branc,raiva/desgosto
forc brac plant terr negr caf peren aliment lucr branc,raiva/desgosto
forc brac grit dent alma pedac ergu impéri fiz amér filh branc,raiva/desgosto
brech sob ladrã gent ped melhor car gent fod,raiva/desgosto
ladrã coméd rod banc negóci met can morô man man cad regen ninguém regener,raiva/desgosto
man fod embac venen gent esquec morô,raiva/desgosto
man jay ment ilud domin popul carent educ cultur proced crê,raiva/desgosto
man cad fod ladrã feb pra mim cad chocolat molec pivet man abrac ide morô,raiva/desgosto
explic tir letr ixi vend coméd presídi detençã troc ide man vend morô,raiva/desgosto
prov pressã opiniã públic hav tom decisã vam esper cai esquec fac justic,raiva/desgosto
vid baix políc enquadr vid baix humilh rebaix vid baix quer acab vid baix interess acham,raiva/desgosto
punk perif fregues prá fregues,raiva/desgosto
sai deix diss promess prend press,raiva/desgosto
pra pilantr castig selvag tir test rod banc boi pra pilantrag,raiva/desgosto
sucess sosseg sucess sosseg,raiva/desgosto
pobr coit olhav sucess peg,raiva/desgosto
músic danc bond praz sacanag romanc met,raiva/desgosto
vou corr inclusã promov intervençã prepar vier escolh quis fech pensament embac sai ret comit passadist perdedor frent olha retrovisor,raiva/desgosto
verás ment verás amor import venc vid gem dor esper auxíli ajud,raiva/desgosto
menin pens fic noiv brinc gent parec tont olham espelh figurin escond bonec fal menin,raiva/desgosto
oponent atent derrub adrenalin cresc octógon sub desconcentr deton desatent necessári pra beij lon,raiva/desgosto
prep trein pra ganh afob vou lev pro chã finaliz imobiliz bat prepar pra lut,raiva/desgosto
cap algum palhac autoritári rodap publicitári aut retrat fútil entrev bravat gêni comp otário,raiva/desgosto
psiuvam entrand guin portã man neguinh dirig mim ria ria ria vir,raiva/desgosto
jog atitud tir robin hood fulan sang ruim caiu olho abert olhand jur tav acert guin deu,raiva/desgosto
campeonat estádi abaix sai anonimat prol cabr machom arras paus atac tim vas,raiva/desgosto
vir cost salv vir bost,raiva/desgosto
brinc marionet brinc marionet brinc marionet brinc marionet,raiva/desgosto
vid contém cen perplex film pens imprópri idad,raiva/desgosto
indign indign indign inaçã,raiva/desgosto
destró mol paixã despert sentiment,raiva/desgosto
sang verã sang corp mort,raiva/desgosto
disposiçã pra pist estereotip extrem cuid list bicud bicud baix crist,raiva/desgosto
cai armadilh sig apolog barrig vaz esquec jói ric cai armadilh sig apolog miss import aven,raiva/desgosto
fal tant rodei pra seduz busc sent daquil ouv displicent diret rejeit,raiva/desgosto
diss envolv suj atras pobr vagabund andav rua nenhum troc pra maltrap maltrat,raiva/desgosto
destaqu olho vir puls aceler ronc   canec viaj estrag escol melhor parceir cadern pra sed loucur som maneir,raiva/desgosto
caôj sonh doutor rastr cobr pis olho agu morô extint ligeir hav moscã ped arreg playboy,raiva/desgosto
tem polic fal gross pipoc pap roc madam sorr destroc cov lob empreit tio vir fumac viu bat carteir siu,raiva/desgosto
japã bagulh doidã molequ apetit sonh vir ladrã condiçã boladã alma lat merd estrag,raiva/desgosto
pequen hom tem perig man pist trafic defed sonh cont sort viaj onda caminh mort,raiva/desgosto
vim sofr cos nostr cheg mund,raiva/desgosto
autor invad critéri nenhum som siren cheir mort derrub frent filh quebr pai polvinh fard entra mat sai,raiva/desgosto
decorrent descas corrupçã molequ cresc empreg vir ladrã bol montã morr nasc mont disposiçã,raiva/desgosto
louc guerreir guerreir,raiva/desgosto
ódi domin sobr ninguém mau reflet mim respeit pra pra,raiva/desgosto
aprend just caix papelã boy ferrar don aviã papa noel menin busc confort latrocínio,raiva/desgosto
víd furt paneton cei frut furt vestibul infern deix clar ascensã qued empresário,raiva/desgosto
vou pra mot enquadr carr atir peit arranc motor queim carcac mat vou gram pro molequ condomíni pra client doent suicídio,raiva/desgosto
filh rod banc cheir dancet aud pag moral ladrã políc mat esquec cã adestr,raiva/desgosto
filh put aprend jeit ensin coraçã petrific glock doutor refém queim viv ris anestes arranc ded navalha,raiva/desgosto
fech carr fort atir cuzã malot heró sobreviv aprend alarm mansã piad result empreg amarr velóri sal,raiva/desgosto
calc fam cadáv jornal flash car repórt policial colet pra isto pro choqu quebr cassetet sol camarim frut époc toalh branc enforc pra espac tranc,raiva/desgosto
adversári trafic rua sang vitór status pro rein boi pra ric mitsubish mosc aven relógi carr mand vac pro legist,raiva/desgosto
futur jogador cen crim principal ator boy ouv assalt precis chor cã adestr pra mat,raiva/desgosto
pro boy novembr feri facult acostum molequ descalc apont fal psic fech escol banc planalt central,raiva/desgosto
status pro arquitet club selet ostent apólic segur anti sequestr top cad aliment burr pendur diplom pared túmul chip fio cabel aparat jam bond pesadel filh domést senh cont pond artefat boc   deton bomb,raiva/desgosto
abr tranc tir cad arromb cat boi morr asfixi conhec arte marcial van dam nippon coraçã corp tatam,raiva/desgosto
chor pag via sacr famíl coro vigíl cartolin obrig garant vid mort indeniz justic,raiva/desgosto
enxurr groselh axé sertanej pagod mel cuec letr criativ preocup social hitversõ fórmul comercial músic prostituíd pra rap alto astralcuzã sorr zorr total,raiva/desgosto
viv vid tribal cac pra com ouv gor com put rol suor paulist teatr mus plac bronz,raiva/desgosto
paraís preconceit maqui branc melhor salári negr carg linguaj jornal códig pro suplet pasqual traduz ouv,raiva/desgosto
tribunal cinz juiz júr crim rap volum profer pen bomb psicotécn limin garant ingress,raiva/desgosto
madam monstr tir alianc fac fich kilométr cuzã fard cpi assembl legisl crim organiz políc,raiva/desgosto
salári deleg lamborghin diabl gavet document pra esquent carr roub pun milit engrax bot estour vei aort,raiva/desgosto
imit caçador pared expõ pres brasil expõ cac jaul cad espingard atir pat labrador busc cã policial trás beb calc plástic,raiva/desgosto
grit armad garruch gamb teatr pra luv cirúrg sent praz vead penetr milhã lomb corp bal,raiva/desgosto
estevã rez apedrej sândal perfum cerr elétr sang compr geladeir inox brastemp pra abrir freez encontr pedac parent,raiva/desgosto
pen capital extra oficial suficient ric cadeir elétr olho pul inocent cort ram podr pra árvor sobreviv cartilh aprend abcd,raiva/desgosto
le reciproc maquiavél graus centígr corp queim favel pra faculdad segu doutrin segu pass filh constru arma químic,raiva/desgosto
imagin inaugur condomíni concentr rac coloc gás letal pulmã coloc pra ganh indult mat carcereir saind caval doid,raiva/desgosto
únic espéc milhõ raciocin anta arma mutil min mandament boy cruz font rend bisp com crianc igrej,raiva/desgosto
jesus volt emprest quadr enquadr crucif tra palavr morr mat pai paul dorm pra herd construtor helicópter colibri,raiva/desgosto
machuc sangr sufoc port mal bmw ladrã volant rind toa cartã espos,raiva/desgosto
açã prevent porr políc bar com coxinh vir carnic sang pra encher panel vaz prec indiferenc cobr perif,raiva/desgosto
milésim gol rei ouv esquec infânc eduqu criancinh    livr didát silenc acopl,raiva/desgosto
govern assum paralel presídi pra facçã previlégi coloc tet   grup riv produt inflam incend vel castic,raiva/desgosto
rinh mont fac apost venc gal crav lâmin espor grad sep ódi jud arian israelens palestin cuban american,raiva/desgosto
sold roman crucific filh reincarn arma distint tortur inocent pra ensin toc pian justic divin pro charut cuban,raiva/desgosto
anim genét modific pit bull rotwaill pro ladrã fic pedac pen realiz sonh luth king yur pra mart negr livr,raiva/desgosto
abrac abol escravatur cont pret outdoor rua pai tom cuid filh quadrilh export pro puteir boliv,raiva/desgosto
fom crack band estraçalh cabec polít neg culp menin famint cest básic compr relógi suíc,raiva/desgosto
plebiscit desarm    outubr colt precis vitrin pro produt pra mat precis port arma fom numer rasp canivet fac,raiva/desgosto
arm mat loj quent coldr fard fri bot morr    pinheir cálcul     morr parelheir,raiva/desgosto
fac regressã pres ver hipnos crim melhor opçã precoc assaltam aparth hotel boy surub sub cam redond put,raiva/desgosto
legaliz galinh ovos dour coc propin semanal pro sargent arromb lucr pra fábric arma funerár jornal pra polít condomíni guard patrimonial,raiva/desgosto
toxicológ pra admissã sold cert laud manicômi judiciári vid contraditór sab malot cat gerent esper carr fort,raiva/desgosto
sort apresent membr facçã nextel volt brasã promotor médic relatóri rigidez cadavér óbit,raiva/desgosto
aul termin cel fri delegac carnificin chacin ódi motiv fuzil pra fug tom tir civil,raiva/desgosto
lavadeir imigr chor vend filh sangr port giratór refém carboniz exist dou tir mulh,raiva/desgosto
aparec sangüinár noticiári arremess cabec presidiári aviã boy trás fuzil nasc louc selvag pra fuzil garag,raiva/desgosto
adestr pra roub dinheir velh pra encher panel pra carr fum pedr espant put histór normal favel pro esquec seqüel astro linh diret,raiva/desgosto
alun fum crack troc tir gamb denarc negoc comig terror cumpr exigent vítim sent dor,raiva/desgosto
agênc bancár vou tir not gerent colabor miol formatur reg champanh filh vend atir cabec mã,raiva/desgosto
pres técnic fug fur fog vár estilet vou diretor pra frent câm glob cachorr chor ped socorr,raiva/desgosto
dev control inter televisã pra bot fog projac xux faustã sequestr sílvi sant pec resgat ratinh gugu foguet pra mart,raiva/desgosto
personag malhaçã preg diplom pared mat gamb blaz pra cat colet boy diger rap sint gost mort gost pã lix barrac dog,raiva/desgosto
fal pra vac filh cancel ecstasy rod banc som fest rav rap conceb sampl sang trilh pra bisnet don cas,raiva/desgosto
faculdad adestr robocops carr fort compr hip hop dou vid pra cant vers proib nasc pro carimb insolúvel homicídi,raiva/desgosto
extint crim polít diniz diplomat real deix post cabec pendur veloc niñ espalh epidem pentium cas gran argentin,raiva/desgosto
boletim jaz faix gaz   mort barc anti aér perfur cativeir famíl diretor cdp libert quadrilh mund morr,raiva/desgosto
exércit proteg turist fuzil bat punhet prostituiçã infantil   milhõ premiaçã show milhã vid real cifr anual narcotráf nacional,raiva/desgosto
marx brasil escrev livr revoluçã sig saw fog selet boy entend vend cinz filh crem cont paus chup mensag psicograf,raiva/desgosto
pens pra compr diamant pra piranh restaur olha car ensanguent capaz viv migalha,raiva/desgosto
invest colet prov bal ilusã bal teflon atravess coraçã filh disney reformatóri boc autóps velório,raiva/desgosto
chor carr segur pag cat boy sai nasc corr pro cham policial milagr tribunal,raiva/desgosto
cal boc doutor pio mand vac pra put par pivet órfã morumb caixã alça our assin mim,raiva/desgosto
diferent bmw cômod barranc chuv soterr filh pra escol vig detector aul professor,raiva/desgosto
sequestr mat políc adolescent pra mes legist uso grif sapat italian mod etiquet pan,raiva/desgosto
sonh coro diplom bíbl brasil deu can parent vir carnic sang comov invad cobertur abro boy,raiva/desgosto
amarr governant tortur famíl dinheir coro tir mat esperanc deix heranc caix bal pra crianc,raiva/desgosto
entend viss filh esquin cont hotel dand vagin cuzã fic der sort pra necrotério,raiva/desgosto
coloc min terrestr fest menin rac termin mulet pern quer limp polvor retin lembr cest jordan dribl garrincha,raiva/desgosto
cruz tyson diret negr humilh hitl olimpi berlin amor ódi chanc chinês pequim fil tanqu,raiva/desgosto
man fábric defeit gran mã peit   dias noit jog lix pec eva mund,raiva/desgosto
confeccion hug boss kevl polietilen pra     fur abert tempor trill contemporân compr vis afund crânio,raiva/desgosto
adiant agend cirurg espiritual fritz cur corp físic astral aul etiquet pra únic buffet canap miol ric esmag igual pat,raiva/desgosto
estrel dav alvo pro abat tranc bon tatuag vend esquelet complet aceit chequ pra    cemitério,raiva/desgosto
trairag gent tom cad   contag pus armadur gui peit cavaleir afi lanc pra defend rein,raiva/desgosto
fulan morr brinqued camelô enquadr bob´s bic lanch lig crav peit caguet espet churrasc infeliz mort diálog,raiva/desgosto
tátic guerr fator surpres cai mirrag patriot defes clá clá reaçã cad rest plantã rend gamb aposent vend televisã,raiva/desgosto
do cod ditadur    tapet sum pres polít gamb mat inocent pen administr suspensã dias,raiva/desgosto
catacl estel origin planet catacl social origin capet caminhã zon franc manaus peg pers taj mahall,raiva/desgosto
parent interdit rua pneu queim peg    assoc tráfic arma engenh mecân depend açã human brasil dispar acidental seman pra anist internacional políc brasileir execut planet,raiva/desgosto
lev corp pro pra quebr períc residuográf prov atir polic crianc bal perd ritual sacrif seit demoníac menin altam,raiva/desgosto
qsl copon pra missã refin pes faz indol mort políc paulist iorquin,raiva/desgosto
par put breu vix algodã boc ajoelh test bum queim roup deus perdo pra fard podr puniçã lápid,raiva/desgosto
film interrog suspeit denzel washington perd oscar treinament eduard direçã porr dum dum rat saír jurisdiçã vam múm abull jamal esper justic vam degol lampiã mar bonit,raiva/desgosto
covard fuzil     carandirú paisan anda funcional kevin costn guard cost boy vid bic vig fom famíl,raiva/desgosto
corredor açã eco sint cheir fumac rival lig colchã cham barric vej guich cel vir forn cusã cobert molh lut fog,raiva/desgosto
boy ensin cifrã olhos val ment arma químic petról suét confort pro execut algodã colh mã escrav menin,raiva/desgosto
imagin charret camp jordã aproveit estaçã com coraçã segreg social caval árab funeral,raiva/desgosto
atlet metr ras deix língu pra turist enforc sang moed capital selvag deix herdeir mosc lan hous jog count strik,raiva/desgosto
pra put biquín pérol águ doc olfat acostum córreg podr     torc sonh olímp pro brasil mostr pro mund medalh cinism,raiva/desgosto
conquist top montanh cadáv vampir viv sang cálic aprend paláci bankhan construíd lágrim diesel,raiva/desgosto
pelican águ   águ dour glob cop jog telh pro repórt cúpul seguranc mobiliz   cov  batalhõ goe rot garr gat,raiva/desgosto
agent cordã mã dad invasã pra carcereir caixã lat febr peruc fug visit duck saiu fals oficial justic,raiva/desgosto
pro institut butantã venen nociv pres mat diretinh robert marinh real pra   pro document pres reincid,raiva/desgosto
cort luz águ tom gamb chup motim cap isto negoc elit reivindic esper cair inimig acab rebeliã,raiva/desgosto
interpret sonh fuzil automát quis vend drog plástic invand freqüênc coxinh rádi amador col boc cabec isopor pro govern,raiva/desgosto
hom ment capaz dobr garf fug pro exterior famíl empresári prefer cit hendrix maradon garrinch alert favel álcool cocaín,raiva/desgosto
senhor projet hom prêmi inventor gamb esmag rol compressor insiner cultiv pra destru bistur tir bal uti,raiva/desgosto
águ cri jesus andou navi negreir naveg mat cor senzal tortur favel hitl morr guet jud,raiva/desgosto
pra cur aids canc tecnolog pro internaut troc fot pedofil vej soluçã eficaz cas meteór extingu dinossaur,raiva/desgosto
cac ogiv nucl escond lua lag peix   cuzã viatur luv borrach osso sacol plástic cemitéri clandestin cas,raiva/desgosto
vid pass orelh cort rost feit bras fug senzal fic resídu cármic reencarn marc doutor facçã,raiva/desgosto
epicentr tragéd livr aut ajud ensin flor atac bazuc mutil guerr vocaçã pra pinóqui oás sond eletrod antibiót,raiva/desgosto
val ossos sec pis ossos ganh carn tendõ espírit ganh circul aço pneu queim vir arom churrasc human calcin,raiva/desgosto
alguém nóis humild baix cabec revid finj esquec,raiva/desgosto
chov sement cresc plant chov políc encher ônibus bronc fech ment jovens aven,raiva/desgosto
luz prov cre viv ver prescis acel rap caus col vers fog povor favel apavor,raiva/desgosto
mã cabec mã branc armou algem prend mã sonhador mã negr sinfon funk mã rap usam mont blanc,raiva/desgosto
zumb trabalh cort can zon mat pernambucan olorok vend carn ninguém viv bund pret pra ouv,raiva/desgosto
obatal servic pra muit gent levant sac ciment ouv olorum trabalh cobrador ônibus,raiva/desgosto
banh símbol guard mant vou sub rei cês viv cicatriz pra sangr sangr ment milhã livr kunt kint vou quis pra nasc playboy pra entend,raiva/desgosto
fals kleb aran vazi abrac revoluçã tucan hip hop reac doc boc lanc perfum mã mand mund fod nói far lim jã cracolând blas,raiva/desgosto
jesus pol listr corr cort degrad descol post pac cês original favel golden rua mic boy pag drã nóis tom nik,raiva/desgosto
vir lat vil pitbull portã muzzik filh faxineir pass rod cuzã ando mort bols espinh coraçã hien rind rei savan leã,raiva/desgosto
represent ameac democratiz ensin grau deput defend adoçã pen capital vener cardeal diss espírit fet,raiva/desgosto
nenhum marginal fur sinal velh sinal vermelh habitual not hom mij esquin rua sac brilhant lix leblon ouv silênci sorrident paul chacin,raiva/desgosto
cois estranh viv mund invert burocrat pra agir band death not coloc nom pra fud deix fud,raiva/desgosto
libert djang livr revolt chibat favel viv proib proib fal racism mimim cham vitim,raiva/desgosto
inimig venh entrar direçã olho moviment oposiçã continu flu posit cançã tent peg visã,raiva/desgosto
prefir rol beir mar carret louc ouv anderson paak fod barulh incomod pret visã willian waack,raiva/desgosto
tir mat mir alvo cert escrav libert inimig grac port pass sant protetor dand proteçã,raiva/desgosto
favel conden viv luz vel tátic guerr tir lam terr capitã mat sec pra atir erra descobr car deit chã inocent revolt ment favel sent,raiva/desgosto
ódi tom cont muit gent mund pra rua quer bot fog pneu manifest alguém morr chor perd,raiva/desgosto
esculach bomb gás bal borrach manifest violênc deix fer conseqüent bot mulec cas,raiva/desgosto
tir pin gran efeit moral mund apanh igual marginal cheg bop pret bot pra corr seg avu morr,raiva/desgosto
porr bat car dói playboy burguês dói mim program pra mat atir pergunt,raiva/desgosto
padrã clich visã livr dig vid pra ideal ideal ideal ideal comig pass visã,raiva/desgosto
trib inimig exércit fronteir guerr brig quebr ruas ruas vir trincheir tromb cobr olho olho dent dent,raiva/desgosto
gestã chap abaix lanc fac espingard fai mei volt barj europ prostr ide tort rap vou frent tropa,raiva/desgosto
clim tens chanc vou termin tir boc sent ódi diab ajud cri don jat pra chor,raiva/desgosto
deit porr dól brilhant gargantilh segu capítul cartilh pedr jog mar pist pra políc sang cálic vitór preg bíbl,raiva/desgosto
vej descontrol perd razã pap fur manj kamill respeit rim irmã,raiva/desgosto
jeit chap pret transform guet canet pap ret lógic inimig pra test psicológ,raiva/desgosto
sint colet milit ativ mant sonh viv viv cabec sig condut entend gui nenhum filh put,raiva/desgosto
od fácil dig ama desped bush vitór obam molec vest bacan fuzil trincheir osam,raiva/desgosto
tam tom espac sai frent barr fiqu met gent rot objet,raiva/desgosto
transform vist mant combat enxug prant viv cant,raiva/desgosto
orgulh caus espant balanc levant ret diret pra quebr encant,raiva/desgosto
rim açã unir útil agrad escolh vid praz inexplic rim crer pra mim exist esperanc arte marginaliz mudanc,raiva/desgosto
méd deus vend acredit detrit tir son doutor,raiva/desgosto
fundid volt racion usand abus liberdad expressã direit jov negr país entrand mund inform aut conhec denúnc diversã,raiva/desgosto
adiant sonh futur merd esperanc acab túmul país futebol mostr supremac distribu escol leit pra famíl,raiva/desgosto
president vir rua olhe pro rost nel exist pur decepçã oraçõ madrug infeliz,raiva/desgosto
aprendiz livr águ sobr escrav limpez vidr carr morr indigent sol mã gentil pátr podr brasil,raiva/desgosto
lut igualdad melhor mérit aliment pã porr hospital merec tratament ignor cã sarnent,raiva/desgosto
quil magr vend result pur essênc venen víci tir calm cabreirag acel demôni roub alma infern sequestr,raiva/desgosto
coc esquem jog preleçã plan barr our jus music arte cênic mobiliz polic mostr servic pra imprens,raiva/desgosto
abrac don merc beij comerc pra ganh caf coxinh refriger paralel pra rua fech escol capot blaz metralh prefeitur,raiva/desgosto
médic açoug aprend medicin quebr volt bistur barrig chã distant aparelh doest repórt câm acab carboniz,raiva/desgosto
cresc pântan reaçã desastr natural casul surg espéc lamaçal muniçã cbc úter pro embriã geraçã hom bomb fuzil precisã,raiva/desgosto
tórax abert chef políc pra pression coraçã massag cardíac juiz conden guard cost msn famíl escond europa,raiva/desgosto
tecnolog nucl rest protus son cri ogiv rap bomb parasitolog fiz doutor pra enfrent verm verm catalog,raiva/desgosto
ignor vend matér prim pro exterior pra compr car comput rap mid transform mort vid tir eduard sigl quadrilha,raiva/desgosto
quant abrir fog blaz garr banh our gring filh put pro chã rap incit crim bush paul ganh transl corp pro pentágon,raiva/desgosto
difer fabric beb arma vend velóri caix lucr desgrac vej denarq prend vendedor cocain deix livr ferrar mat ping,raiva/desgosto
acalm ligu vizinh voyag pra enfermeir dei àlib caiu lag volt pass kaol oitã flanel pus   tambor esper janel,raiva/desgosto
cheg madrug ped perdã pra mim cusp car tir cair indo pra cad sint put alivi pai troc alcool abre peit tir,raiva/desgosto
barr sai queim barr sai queim,raiva/desgosto
pont cigarr comig danc pont cigarr comig danc,raiva/desgosto
barr sai queim pont cigarr comig danc,raiva/desgosto
diret cachoeir madeir pag rim cheg bat gent brinc palavrinh music morô,raiva/desgosto
bíbl escud manual pra libert sig jorg espad dragã esper justic hom podr ceg quer nobel pro bush promov guerr,raiva/desgosto
mã pres extra roub cosmét lig extorqu cartã telefôn comérci dand audiênc pra novel mosc fofoc bich leã lob,raiva/desgosto
respir aparelh rival enquadr atir mim bar minut jog pimbolim test gravidez der posit min sonh alguém pra compr filh,raiva/desgosto
boc cal tir acert sang defunt chã favel oraçã tia com mendig pern che fer rim ladrã mat playboy vic tom tir gamb boy detent cort pescoc refém alcoólatr bar beb,raiva/desgosto
burgues charm discret peruc cabel bonec burgues sóc country burgues new york compr,raiva/desgosto
cachaçat par rejeitadan barril alambiquet chiliqu bancod brasil,raiva/desgosto
part lut perd lucr sol dur sol diári hereditári hereditário,raiva/desgosto
campanh mostr burr escol repet mau alun nenhum comercial cuzã publicitári expõ vítim trafic,raiva/desgosto
humilh pobr drog boy don plantaçã coc lent foc condutor maranell personal train enderec camp bel,raiva/desgosto
film gamb traz crack pra vend receb div mot dvd govern omiss met are campanh fals result carn envenen cã guard,raiva/desgosto
asfixi gás sai forn pra troc vinh port vic crimin perd tratament clinic choqu distrit,raiva/desgosto
