estrofes,emocao
pint eletrocut vou recuper vou entrar    sair     gradu molequ col chafariz incomod nariz,raiva/desgosto
vitrin crim carr our pescoc atra molequ fogã almoc vassour igual pai vou man rua invad condomíni deit filh put,raiva/desgosto
eduard dum dum erick    facçã cant esperanc vend ilusã malot mã vig chã pow pow luz túnel apag,raiva/desgosto
luz túnel apag caixã lacr glock doutor luz túnel apag malot mã vig chã pow pow,raiva/desgosto
fhc peg arma crack pro infern poe bolh colh presenc pro net excluíd invad fazend fac ponh vend entend,raiva/desgosto
dinheir ladrã peg galã gasolin incend crianc sej famíl livr favel bibliotec centr cultural estilet car cel,raiva/desgosto
conden grau maxim faxineir grit assalt pro empresári   manhã esmag bus centr pra grã aliment,raiva/desgosto
projet escol presídi deu     pres result ating sofr vend boy chor cen terror luz túnel pow pow apag,raiva/desgosto
luz túnel apag caixã lacr glock doutor luz túnel apag malot mã vig chã pow pow,raiva/desgosto
chanc vou figur whatmind pass but not this tim,raiva/desgosto
chiquit bacan kát fláv sozinh cam amél vaidos conceiçã ric famos amor urgent,raiva/desgosto
construçã human matér concret deus destró adiant pedr ating dói arte divin quebr toa escorregu fic lod pra alguém escorreg,raiva/desgosto
morr cont cor sobrenom comum artist câo fal amor fech nois dor,raiva/desgosto
delaçã premi peg caguet fic solt cusp car impun constrang ped vot,raiva/desgosto
cont contig fechament comig traír vagabund consp coloc bol fabric ment advog tir,raiva/desgosto
prepar sepultur cas otári fing inocent cas cai contrári tentaçõ multiplic dev pobrez precis marginal rang mes,raiva/desgosto
fal sotaqu pra oferec chiclet bal bombom refr chocolat bagulh doidã neg abort missã maldit dinheir mã,raiva/desgosto
irmã mud opiniã quer malandr bundã viv vid real real vid comig leal ativ pis cabec traír desorient perd ment,raiva/desgosto
fals baian entra samb ninguém incomod ninguém bat palm ninguém abre rod ninguém grit ôba salv bah senhor,raiva/desgosto
fals limp carteir maneir pag despes belez deix queix gueix amor ros,raiva/desgosto
crim crem bot car mist qual man vacil vir munr crim crem bot car mist qual man vacil vir munr,raiva/desgosto
ru che gent procur compr vend cois import infern fic seman,raiva/desgosto
inimig repressã desinform domíni caminh pra revoluçã voz voz deus cas caixot feir problem filh motel ganh troc,raiva/desgosto
pra tom uzi morr adiant milhõ açã colet objet comum discurs revólv interess opçã uniã imposs revoluçã,raiva/desgosto
felic zen ninguém tom ninguém doa ped ninguém,raiva/desgosto
fom raiv homem hom hom raiv fom,raiva/desgosto
fom gent com lev vid arte,raiva/desgosto
gent tort igual garrinch aleijadinh ninguém precis consert der cert gent vir sozinh decert,raiva/desgosto
gent tort igual garrinch aleijadinh ninguém precis consert der cert gent vir sozinh decert,raiva/desgosto
gent tort igual garrinch aleijadinh ninguém precis consert der cert gent vir sozinh decert,raiva/desgosto
gent explod campeã fod eleiçã gent perd cop aprend eleg honest competent,raiva/desgosto
gent gent prend banheir nào deix terreir pra incomod criancinh gost brinc sozinh,raiva/desgosto
gent pra mod chat zulm zulm tranc banheir deix terreir pra incomod,raiva/desgosto
gent com gent com amor gent com gent praz pra alivi dor,raiva/desgosto
gent com gent beb diversã bal gent com gent vid vid,raiva/desgosto
gent com gent com diversã arte gent com gent saíd,raiva/desgosto
gent dinheir gent dinheir felic gent dinheir gent inteir metad,raiva/desgosto
arm branc pra circunst arma mã adult arma mã crianc vár vár diversific arma ment engatilh,raiva/desgosto
despert instint psic mat cri calibr cri guerr cri diferenc habit terr imens diferenc social,raiva/desgosto
justic criminal implac tir liberdad famíl moral carcerári cham presidiário,raiva/desgosto
confi políc rac caralh acham bal calc chut car cosp mim sangr mort abrac seguranc,raiva/desgosto
daqu vej rotin jorr sang     cilindr garag trafic ladrã suced cerc vagabund ten fud pag venen chuv,raiva/desgosto
mund pericul venen incentiv descarreg tir morr corr atras fam status band desfil piranh carr convercivel,raiva/desgosto
segu livr maldit sonh seleçã inspir forag glock aviã mansã exig govern sal empresari cag joelh,raiva/desgosto
falt tratament loc volt atrav futur inexistent revolt segu mod ping esperanc vist mort lembranc,raiva/desgosto
lut racial lut social ninguém espant guerr sant,raiva/desgosto
madam assust favel deu entre camis pistol fre jazz pra duv apolog crim paz,raiva/desgosto
roup branc pens ped paz justic utop guerr inevit pra viv desfavor,raiva/desgosto
sufoc amonto morr popul revolt grit socorr armament form descas arrog par,raiva/desgosto
mã destin ded lábi fin algem prend rei,raiva/desgosto
mã toc violã precis guerr mat mund fer terr voz cant cançã precis cant hin,raiva/desgosto
opiniã mulh cas irmã hom,raiva/desgosto
assimil danc pornograf influênc sobrinh tia frent espelh imit coreograf incentiv brutal pedofil,raiva/desgosto
mim pens hom nenhum mund paciênc hom nenhum pai mã ciênc entend pár pens,raiva/desgosto
histór igual jov desc nort sul viv rua fic desnort comum fic desapont comum fic apaixon violent,raiva/desgosto
histór igual jov desc nort sul viv rua fic desnort comum fic desapont comum fic apaixon violent,raiva/desgosto
perd esquerd import censur cort,raiva/desgosto
pont pra tun pra cohab advent vil arapu fal pra voc,tristeza
fic quas escur ilumin letr palavr hotel escrit neon,tristeza
disfarc barrig ris fantas fing olhos sol,tristeza
desampar exíli estrad vaz reverber voz vid puls vid puls,tristeza
fac ocult lua aparec águ brej vitór rég ausênc total desej jói jad luz lâminaanimal espelh reflet retém,tristeza
garot bauru sanduích garot bauru personag trist,tristeza
ler destin mud sort lucidez desatin ler destin mud sort,tristeza
esmag voz razã sens unísson ensurdecedor,tristeza
rolardeix pra voltardeix sangr doerdeix,tristeza
olh ache caval marinh pra esquec deix onda acert vent lev,tristeza
mat filh,tristeza
ninguém desaparec,tristeza
par dói,tristeza
paul acord pens futur ilusã pret olha sofr invej mat muit gent ruim,tristeza
mã fal durm amor senhor cab saturn dinheir pergunt don ana mim hom put,tristeza
telefon precis beb algum rapidamente…,tristeza
sonh sang amér sul forc destin tang argentin melhor blu,tristeza
anj paz descobert amizad,tristeza
¡tchau rad vou salt fácil car eufor depressã muit flor pedr mã,tristeza
man quer víd gam present ganh can crianc perif,tristeza
entend belez traz entend belez amor trag olhos volt pra mim,tristeza
olh saudad trag amor olhos silênci esper alguém,tristeza
amor pra mim negóci saudad feit pra mim,tristeza
vid pass descontent som prisã grilhã dur lástim sofr sent,tristeza
sucess lam pertenc loucur pobr fic sort pret chanc morr acostum enfrent,tristeza
qu contig permit ouv voz desconhec,tristeza
cont pra mim trist fiqu trist mund felic exist,tristeza
enxug lágrim par chor pass sorr alguém cont pra mim trist,tristeza
olh vam sair prá sorr enxug lágrim chor,tristeza
olh céu azul azul esquec pens felic cançã cant pra mim trist,tristeza
quer cab coraçã sofr mat mat fer,tristeza
vej sonh saudad amar pass pass quer cab coraçã sofr mat mat fer,tristeza
faz admit lament,tristeza
part trist trist trist saudos saudos,tristeza
pobr mim sab olhar sedutor errav pont pedr pastor not usad fad,tristeza
viverviv mund vivermund viverviv mund,tristeza
exist solidã pior castig cont pra relógi comig,tristeza
lanc pés prostr ante bálsam senhor cur grac perdã,tristeza
sofr amor,tristeza
idad troc mã pés,tristeza
divid sep divid sep,tristeza
pivet favel problem viv desacredit estud esquem merd álcool sonh mont carr import,tristeza
julg corromp alien revolt fracass pint quadr quadr film vid quadr vid viv esquec,tristeza
favel ocup seman viv clim tensã tent esquec conseg lembr sang chã comun assust retorn lagrim sec ment prep corp covard,tristeza
pôr sol torn impossivel mur mansã mur presidi pra ameniz program educ really show strip teas vad,tristeza
hom imit chaplin cinem mud cen chut glob mund civiliz paz chamin cinz human nev satanás,tristeza
nord precis juiz pra adoçã mã filh pacot macarrã pra jov europ mort put par morr     voz brasil,tristeza
lágrim berçari crianc nasc ceg mã fum crack sequel carr alegór aven perd belez passist samb empres,tristeza
cultur mod yves saint laurent pra client táx aér tam vist necrotéri parent costur histór trist mort peix dour,tristeza
quant drumond mac alumíni selv canibal pobr prat rodízi voa jat mosc sang extra proteín substânc proib doping sai urin,tristeza
hom sapien ultrapass macac entend paz mund igualitári ninguém corcel alto falant don cas pamonh fresquinha,tristeza
cit plastif jornal assalt prêmi crim lembr ladrã fin compor horror stephen king realiz quer cont feliz monteir lobat prov filantrop hip hop mass model míd,tristeza
deus gêni deus louc estrel hom instint monstr deu letr rap perfeit cri pra aprec músic classic,tristeza
futur cat fronti colun pra tret bolív cant pra andar carr projet dvd patent favel,tristeza
sensaçã mex ded pern amput tir abaix joelh assist telefuken madeir pret branc cham lar   tapum barranc,tristeza
índi infern constantin lut amor igual patrin mã águ caymm sec mágo redefin vid amarg sublim,tristeza
comun morr ciment cas frid dieg morr dinheir vei entup mort viv,tristeza
sobr pra poem acho val pen vid altern vid cen novel cer cel,tristeza
lut dias melhor prisioneir fort acredit mud sort pra jog comov,tristeza
lembr luz vel pens alto igual pip céu favel gps celul volt vou busc,tristeza
brac gord mat tio chapéu carecedor cosp silab véu molequ expost cru passarinh acu cascav vicio,tristeza
and repent vej estend barranc estrad pobr cachorr perig rot esfarrap parec acab cheg guerr,tristeza
caminh trist direçã pensament voam tir pés chã,tristeza
vid asper ningu morr vesp eticet eticet ser ser deus deus dar,tristeza
rol vmax gol chandon mã pobr mã nordestin ensin mã trás neguinh senhor,tristeza
mã tyson ódi nocaut mã usam esmalt mã apont mã delat mã mã tremul mat,tristeza
gent danc bic garrafinh odé trabalh seguranc peg ladrã respeit ganh pã tiçã amac honest,tristeza
trans infernal trânsit ossaim sonh amor pra ganh pass prac turbulent pelô sex oral anal,tristeza
ouv rainh quel rainh quel limp foss banheir bong bung lam,tristeza
amig perd ente quer procur deus dig amém boc fech camis car deu pedr car tav baix porr aceit rol morr chor,tristeza
tir barric pist liber acontec multidã cal pra val acontec favel abal ninguém ped ajud pra falt alguém rest chor lament famíl,tristeza
ladrõ mulat quas branc trat pret pra mostr quas pret quas pret,tristeza
quas branc pobr pret pret pobr mulat quas branc quas pret pobr trat import olhos mund inteir,tristeza
gent gent entend usam violênc corp estend chã poc sang conseqüent desprepar seguranc ganh aument bravur termin matanc,tristeza
complic revist mulat fard acha pret favel retrat fal covard ate,tristeza
trabalh trafic deit chã ger revolt cabec comun marginaliz sociedad cal escond condomíni favel imper lei genocídio,tristeza
som paz formul lig rapaz nois nois arrum tim desun ata,tristeza
tabu cair terr trem viv fom com man perif tir laz estud carr empreg praz,tristeza
min trat respeit descrimin guet jeit funçã concienc bleck rap,tristeza
card mort impress negrit ouc pass vej vult espírit,tristeza
ratat ratat sang escorr filh chor bum mã,tristeza
ratat ratat sang escorr filh chor bum mã,tristeza
primav vid bonit viv depress sol brilh segu chov mim janeir fri rach mund inteir uniu tram,tristeza
quebr enverg arreg fic lig entram frent,tristeza
lig rap olho gord conseg enxerg desun tam fud ninguém prosp vej falsidad ali egoísm fugit colet individual,tristeza
deus apert gatilh termin mort únic clinic pro vicio,tristeza
gat cam telh bot gran,tristeza
admit motiv pra viv alguém,tristeza
refrã trist pierrot amad mestr sal desacompanh bufã salã cant,tristeza
cant depend pra mud adiant,tristeza
abandon timbr pardacent jeit fech mói sentiment,tristeza
ment criminal criaçã destin marginal neguin vist menin elev moral quebr curt rim,tristeza
rim pra negat enfraquec coraçã gel aquec pra algum acontec pra vid inteir fortalec,tristeza
pra mim biográf pra cinematográf barrac bairr problemát put bat dinheir ráp sair burac narcotráf,tristeza
rapaz gravador lig lig ideal disconvers falt engan putz grav man,tristeza
pens dispens reflet nóis melhor nóis quer par grit west coastreal natural igual cabel crespo,tristeza
sent saudad futur metad futur pass lev car,tristeza
feit amig gent sonh feit vid feit amor vers menin escrev tant,tristeza
desculp erro caligraf lembranc filh brilh capital estrel internacional filh capital estrel internacional,tristeza
pro mand econom lembranc filh brilh capital estrel internacional filh capital estrel internacional,tristeza
precis sincer rug mã linh test idad preocup calminha,tristeza
palavr linh fras oraçã rez prec perd seih,tristeza
qu alguém perd cidad quis conhec conhec,tristeza
seman pisc luz videocasset    outon pass exist,tristeza
molambeir vid trat cacet mor esquec pont,tristeza
desempreg cheg aug misér traz fom prat vazi ger revolt result mort refém cativeir vid perig playboy sepult cemitéri clandestin,tristeza
deu mágo vitór bas doaçã cest básic construçã parqu ecológ parqu aquát evit assinatur óbit,tristeza
manhã esper jant gel ouv histór bob improvis pra sorr solidã alta carinh,tristeza
dê empreg pra     seguranc tern pret modern visã panorâm fug nav mã comunitár sorr tel real deform car,tristeza
cert igual maquin flip esquin vid liqu desped cheg atras grev motor assassin,tristeza
jovens perif antecedent crimin sofr violênc policial mort políc   negr univers brasileir alun negr jov negr morr violent paul fal prim pret sobrevivent,tristeza
acord pra pro tramp precent ruim clim pes estranh tchau mã cat bols marmit pai chã cozinh pass,tristeza
fic doent parec sonh hospital fal alcool anon bast receb alta grav pra pro balcã encher conhaqu,tristeza
chegu feliz tramp abrir port sof coro quas mort pra cat dinheir luz bat tijol burac test trint,tristeza
águ font brot olhos intens chor seg rum par,tristeza
segu leit águ mar tend águ font mostr erros aceit,tristeza
alm cans aflit jesus sab condiçã pobr coraçã,tristeza
andorinh voa veloz voa voz andorinh cançã fiz andorinh voa feliz forc mã sozinh verã,tristeza
árvor curv vent fort dur folh procur sol cham norm doc ilusã doc ilusã,tristeza
auror cheg ninguém boc receb esperanc manhã possív moed enxam devor recém nasc,tristeza
auror lorqu gem vast escad busc arest angúst indefin,tristeza
babilôn cinz neon melhor amig sid som carm lembr armagedon ore busc vid ultrassom ache,tristeza
cidad alde mort desafi nonsens competiçã ninguém venc pens formigueir vir cois cabec vir degraus,tristeza
bandeir tricolor sac frent mar cac caçador saind pra jant fil cinem sul nort terr fog águ fic,tristeza
ilud barat detefon mat acostum baygon,tristeza
barulheir ruas sepult luz cidad bairr cambal inson saíd naufrági sang,tristeza
bat suing perif ring fals atir gent cheg suing rim gent prolifer,tristeza
belez infinit coraçã estravilh olhos enxerg press amor,tristeza
blockbust alug dvd pra donalds big mac pra design ford desenh pra hop har brinc,tristeza
pro enderec loj copagaz entreg cart cheg patrã empreg sonh jant pot margarin serv caf cop mass tomat pra visit,tristeza
mã ouv gil gom rádi sonh vítim farmác popul fom bols famíl destin setor traumatolog,tristeza
boc cal tir acert sang defunt chã favel oraçã tia com mendig pern che fer,tristeza
boi sec enxurr sec trovo sec enxad sec,tristeza
bras ferr lavr pel lavr alma caminh cruz recus olorum grit corrent voz feitor receb lament acolh revolt negr senhor,tristeza
burgues fed burgues fic ric burgues hav poes,tristeza
burgues rep dor vendedor chiclet burgues olha pra burgues olha pra burgues guerr,tristeza
burgues acab barr afund barc chei crianc dorm tranqüil dorm tranqüil,tristeza
cabr contorc dor cur chul,tristeza
cabr estremec dor bod arrepend ped desculp,tristeza
cen pared mud cor quas escur luz aparelh televisor espelh retrovisor futur dur pen apag televisã,tristeza
corp caixã lat hom prisã anunc contag regress extinçã,tristeza
troc ros blindag guerrilh coloc gaiol nasc perif selv,tristeza
desej incont invad cançã crepuscul estaçã amor correspond,tristeza
cam fri sint calor esquec esquec amor,tristeza
formaçã acadêm entend metamorfos crianc éter amanhã ladrã deus mat filh polít overdos pra orar pro senhor ped mort,tristeza
cançã lament amor chor sofr perd paz cançã,tristeza
sonh justic molequ troc tir políc peg boy arranc dent sonh videogam tom   enterr indigent,tristeza
céu fog fest junin favel quer cocaín sold tráfic carboniz rotineir paisag futur crianc cabec ident,tristeza
ti filh cri afet chã uti sonh médic mij cag feriment tir inflam grit socorr pro enfermeir implor pra medic,tristeza
país caralh deix carr tên com salári nasc pra pass fom mã pared pra sonh suced merced,tristeza
quant transform carnic mat decapit puls algem tortur real papel gram migalh desfigur ambul,tristeza
ninguém quer mat gerent banc flet proporcion pânic cans cheir esgot barrac marg rio bói rat mort,tristeza
pro arquitet juiz empresári tio vend bal pass catrac trafic descarreg rifl fao put motel faz sex oral,tristeza
casc azed quebr onda estranh amor invad sorr,tristeza
puls pár pra pens espalh chã jeit ceg enxerg sang mã,tristeza
cés cés impressã mulequ press man funk louc onda man parceirinh vir ladrã malandr malandr vár fit bezerr tav tend malandr rif pap gír grif cristian dior sam coq sportif gshock calc pizz fiz,tristeza
chuv cai chor amor céu chã red lev,tristeza
chuv cai cai molh sol sagr lav rost humild irmã calej aprendiz ensin valent palavr clar ment,tristeza
amor mud sabedor acalm febr atir vej sent guerr coraçã batalh etern,tristeza
quebr revolt irmã aliment vers trist escond direçã quer lembr fiz mulequ chor show feliz,tristeza
emocion viu amizad blind ladrã roub jeit sabedor pra aprend modif quebr elo fort gent precis motiv pra sonh cheg chor sol brilh,tristeza
chuv saudad vent sopr chor distant,tristeza
chuv golp pedra‚ golp coraçã chuv imagin heró divert lembr preguic ode mistéri possuím desej imagin,tristeza
cidad enlouquec sonh tort enlouquec calm vicios praz,tristeza
cidad enlouquec sonh tort enlouquec calm vicios praz,tristeza
cidad enlouquec sonh tort pesso enlouquec calm vicios praz,tristeza
expressã angúst depressã pressent indefinivel,tristeza
com mes vas jasmim corp amad enterr jardim,tristeza
corrent rio lev flor dorm zomb amor,tristeza
barranceir rio ingá debruc frut madura corrent lev corrent lev,tristeza
corrent lev chov seman amor barr fic marc boi pass,tristeza
corrent rio lev flor dorm zomb amor zomb amor,tristeza
corrupçã permit atroc ultrap limit elit evit afrogenocidi exist,tristeza
palc pupit usand voz brasil corrupt impun fal alto homens pret sob morr pra defend asfalt,tristeza
impotent assist tragéd desnivel favel class méd trat guett áfric distanc cheg geográf,tristeza
danc mort ninguém frequent cruz distânc,tristeza
deus entregu barc entre mar pra navegu,tristeza
patricinh mocinh cozinh vid dur fuinha,tristeza
dor paixã explic defin sent mist sofr peit coraçã,tristeza
dor pra cur receit corcund deit achar sent saudad fund cop encontr moral,tristeza
dor cur lástim sor gost lágrim flor cheir mort dor fech cort,tristeza
drog batiz sang financ armas bang bang,tristeza
energ atôm mat cur cânc mã derram sang escrev romanc paz brot jardim câm sensor espetácul circ horror,tristeza
escass produçã alarm patrã galinh sér jam tir fér velh perdô fic granj canj,tristeza
escolh viv press pens plan cel amig distant moral pres ache morr,tristeza
quantidad tir ating pra mim tav acab corp caiu chã esper samu pens conselh deu fud martel bat,tristeza
mínim bot car madrug acab bail acab farr acab ostent delig marr vir bol rasteir,tristeza
esp algum descu cuid goz paz homens sufoc,tristeza
esp fil imens corp negr esquec san vicent cidad luz,tristeza
esp fil imens corp negr esquec san vicent cidad luz,tristeza
esp fil imens corp negr esquec san vicent mulh homens,tristeza
esperanc fic imposs trafic drog melhor carg vid baix pobrez objet dinheir import aceit,tristeza
delegac ocorrent averigü tátic móvel maldad vid baix opçõ fod real acontec ver pra,tristeza
dificuldad muit tramp resolv altern ped met revólv aconselh morr fom pior reconhec honest melhor,tristeza
questõ igu aparec crer decisã cert errad vid baix infern,tristeza
estr long cem quilômetr chã esper distânc perdã,tristeza
estr pra jog indecent junt consegu coincident pintor rua anda desenh maluquic lençol pés céu rach negr amor,tristeza
estr pra jog indecent junt consegu coincident pintor rua anda desenh maluquic lençol pés céu rach negr amor,tristeza
estr vaz instaur desert vid insinu descobert puls vei vísc terr chã,tristeza
estr vid puls secreçã hal vid exal pequen mort sex asces acas sort necess desej esperanc perd,tristeza
explod vid sang suor esperm algum instant desert habit,tristeza
estrof derradeir merencór revel histór amor perd lua rond natur,tristeza
solidár tristez nuvens escond cantor fal lua histór igual,tristeza
amor fug diss ais convuls soluc estrof repet,tristeza
etern cicatriz quas feliz barr amor ermo barr mort term,tristeza
perspect possibil escolh melhor pra vid ger revolt cabec comun marginaliz sociedad,tristeza
perspect possibil escolh melhor pra vid ger revolt cabec comun marginaliz sociedad cal escond condomíni lei favel imper genocídio,tristeza
olh pens saudad mat,tristeza
famíl necessári polít necessári necessári necessário,tristeza
favel senzal corrent velh trib sal cel prisioneir grad víd sol nasc quadr gent pag gent pag gent pag gent pag,tristeza
flech pass rent cantor implor bis car ment fei miss gaivot voand céu letr fiz solidã pra feliz,tristeza
fom continental misér nort traz fom mort fom paz,tristeza
fragil vid viv razã explic entend encar clar escond,tristeza
gel solidã dás coraçã vid mort lucidez desatin,tristeza
gent ama escrit coraçã pirrac perd grac,tristeza
gent ama car fic chor escond perd amor jog azar,tristeza
gent pens compreend distingu alma escuridã arrisc pens pra decifr,tristeza
gent pens compreend distingu alma escuridã arrisc pens pra decifr,tristeza
arrebent tant moment hom vag lut percorr,tristeza
gent brig brig pens sofr termin,tristeza
gent peg gent entreg gent morr ninguém sofr formos mulh,tristeza
gent pod convers inteir pod deix luz aces inteir esquec tir cabec merec atença,tristeza
gent quas quer lembr notic deu vontad volt,tristeza
gent acostum gent habitu dorm rua gent habitu,tristeza
gent sent acab encant paixã sum sentiment coraçã descobr med cont amor mim acab fing sent amar,tristeza
gent esperanc viv gent cant sofr fiz samb perd diz ninguém senã,tristeza
gent resist volt barc sent deix cumpr,tristeza
gent cultiv lind roseir eis cheg rod viv carreg roseir pra,tristeza
gent igual pingent fic quent cab sent vid servent rent pent corr frenét dig,tristeza
pra evit fadig xing preguic lig vaaaaa are ciment maaaa desdobr jã disposiçã sobr bundã cobr patrã cobr,tristeza
ging comadr acontec cop embriag,tristeza
hom violent violent agressã social mat sentiment favel human cri defes,tristeza
índi negr quadr social igual discrimin acredit mort sociedad fantoch pobr sábi humild excluíd vier afast extrem lest sobrevivent violênc urban,tristeza
hipocris homens nasc revolt class pobr sombr maldad negr vent sopr cabel trist,tristeza
pur verd olhos pod unir arrog atrapalh ingenu ceg juventud pass ros morr amar,tristeza
histór negr diferent palavr pra sent,tristeza
histór carr alegr chei content atropel indiferent neg,tristeza
histór carr alegr chei content atropel indiferent neg,tristeza
human desuman chanc sol nasc pra,tristeza
insensatez coraçã cuid chor dor amor,tristeza
amor delic frac desalm coraçã amou merec amad,tristeza
inteligent film tráfic sac trint chacin gramp ameac orelhã comunitári morador depor fin,tristeza
lagrim escorr rost madrug entristec sobr infeliz vid rival mordom destac lux condiçã precár tio viadut,tristeza
vid continu sent dor realidad ausenc machuc mã sint saudad pass tenebr inocenc sorris cheg filh,tristeza
lágrim escorr peit direit alguém pec pra pens traz olhar fac convém pec pra pens traz olhar fac convém,tristeza
lágrim rol olhar trist mort cheir cor sang lágrim sang viatur aproxim comec desesper lágrim sang vou sobr fic inteir,tristeza
portug esquec destin fad portug esquec destin fad,tristeza
linh ocup sinal demor abrir carr enguic chor sorr,tristeza
louc escorreg lençó cheg sonh amant rouc regal bemó troc brilhant,tristeza
louc esperanc irmã caind danc vid cant venc escravidã,tristeza
abol paz aboliçã paz ced paz conquist,tristeza
lu part cant paisag cruel cidad long favel arranh céus,tristeza
luz bat rost sol quent sent queim plant gent nasc algum fiz pra respost sol montanh vent mar,tristeza
luz lua beir rio voz vent pass long silênci diz saudad,tristeza
luz cabar apag mim tang vitrol cheg envelhec lembr chor,tristeza
luz fad seg corr guitarr cant voz cans diz solidã saudad,tristeza
luz morr céu perd cor anoitec amor,tristeza
luz morr céu perd cor anoitec amor amor,tristeza
luz negr destin cruel ilumin teatr cor represent papel palhac amor,tristeza
acas decid pec demor mim viv chor saudad pens olhar,tristeza
mã pra algum luz sol incomod deix cortin fech televisã deix burr burr viv jaul junt anim,tristeza
mã mantém arrum falec roup dobr fot viv ninguém morr coraçã inquilin coro flor fras sent,tristeza
mágo pra destin amarg coraçã descans perdo,tristeza
besteir fiz deix passarinh escap gaiol volt livr pra voar,tristeza
trist naçã époc podr compõ possív grup linchador,tristeza
manhã aparec jorn edit branc págin assunt cultur trânsit estanc,tristeza
mã segur martel mã deus crav fer corpo,tristeza
mã toc violã precis guerr mat mund fer terr voz cant cançã,tristeza
precis cant hin louv mort viol enluar sertã espad,tristeza
melhor esquec melhor cur víci início,tristeza
melhor escolh prov gost melhor chor cobr rost,tristeza
evit rug olhar espelh esvazi revólv pux gatilh,tristeza
melhor escond lágrim escuridã melhor enxerg escur mã,tristeza
id chã tropec acha soluçã acab dor tom analgés,tristeza
mat saudad olhar pra trás melhor mant jov escond idad melhor fug veloc idé chã,tristeza
ment don razã brig matern cheg salomã,tristeza
razã metad cort facã vend ment chor ped piedad razã,tristeza
ment doenc cobic falsidad misér injustic realidad govern desprez desigualdad menin menin ruas cidad,tristeza
ment acredit cas disfarc palpit pra enfeitic,tristeza
confus sinistr caus misér jur amor crist superior respeit gay idos pobr pret,tristeza
minhalm vend ninguém compr quis pag,tristeza
alm chor prant vaz fiqu companh,tristeza
histór termin deus conhec melhor pra mim cant chor lágrim voz soar,tristeza
histór termin deus conhec melhor pra mim cant chor lágrim,tristeza
sonh acontec alma sofr diz iri acab mim ninguém mat,tristeza
histór termin deus conhec melhor pra mim cant chor lágrim voz soar,tristeza
histór termin deus conhec melhor pra mim cant chor lágrim voz soar ire cant ire cant,tristeza
músic traz mensag chantag guerr fri fal ideolog vim fal,tristeza
gost vermelh verd amarel camar companheir amig,tristeza
pior contig mim golp armad coraçã,tristeza
dor vid inteir transform enorm agit termin mandat,tristeza
cass deport pra amad amor,tristeza
morr laialai amad amor morr,tristeza
tristez feit angúst tristez feit angúst surpres surpres feit fat,tristeza
sang olhos lam sapat fortal fortal silênci infam bast ret derram repres,tristeza
vid trist esper solidã soub jur cas,tristeza
cor motiv vergonh cor motiv vergonh irma cor motiv vergonh vergonh lut acomod,tristeza
cor motiv vergonh cor motiv vergonh irmã cor motiv vergonh vergonh lut acomod,tristeza
misér favel injustic social trafic vir espelh crianc marginal,tristeza
moedinh prat val cobr moedinh prat val cobr,tristeza
